No.,Common name,Scientific name,Status,Last detection,Redetection probability,"Forest interior
(Primary forest)","Edge forest
(Secondary forest)",Coastal/Mangrove,Grassland,Parkland
42,Blue-crowned Hanging Parrot,Loriculus galgulus galgulus,U / R(B),2020,0.754084863,1,1,1,,1
88,Bar-bellied Cuckooshrike,Coracina striata sumatrensis,E,1965,0.770982086,1,1,1,,
10,Olive-backed Woodpecker,Dinopium rafflesii rafflesii,E,1949,0.775691795,1,,,,
122,Abbott's Babbler,Malacocincla abbotti olivacea,C / RB,2020,0.779546142,1,1,1,,
36,Drongo Cuckoo,Surniculus lugubris barussarum,U / RB WV,2020,0.805757419,1,1,,,
2,Barred Buttonquail,Turnix suscitator atrogularis,C / RB,2020,0.806090715,,,,1,1
64,Thick-billed Green Pigeon,Treron curvirostra curvirostra,U / RB,2020,0.806090715,1,1,,,
66,Red-legged Crake,Rallina fasciata,U / RB WV,2020,0.806090715,,1,,,
9,Laced Woodpecker,Picus vittatus vittatus ,C / RB,2020,0.830443014,1,1,1,,
114,Red-eyed Bulbul ,Pycnonotus brunneus brunneus,R / RB,2020,0.832093642,1,1,,,
115,Zitting Cisticola,Cisticola juncidis malaya,C / RB,2020,0.832093642,,,1,1,1
12,Greater Flameback,Chrysocolaptes lucidus chersoneus,E,1949,0.836511705,,,1,,
125,Chestnut-winged Babbler,Stachyris erythroptera erythroptera,U / RB,2020,0.841997714,1,1,1,,
46,Asian Palm Swift,Cypsiurus balasiensis infumatus,C / RB,2020,0.858096568,,1,,,1
84,Blue-winged Leafbird,Chloropsis cochinchinensis icterocephala,C / R(B),2020,0.858096568,1,1,,,
116,Yellow-bellied Prinia,Prinia flaviventris rafflesi,C / RB,2020,0.858096568,,1,1,1,
21,Oriental Pied Hornbill,Anthracoceros albirostris convexus,R / RB,2020,0.861692475,1,1,1,,1
110,Cream-vented Bulbul,Pycnonotus simplex simplex,U / RB,2020,0.868310142,1,1,,,
123,Short-tailed Babbler,Malacocincla malaccensis malaccensis,U / RB,2020,0.868310142,1,,,,
55,Brown Hawk Owl,Ninox scutulata scutulata,C / RB,2020,0.884099494,1,1,,,
136,Copper-throated Sunbird,Nectarinia calcostetha calcostetha,U / RB,2020,0.884099494,,,1,,
22,Red-naped Trogon,Harpactes kasumba kasumba,E,1921,0.886731411,1,,,,
145,Baya Weaver,Ploceus philippinus infortunatus ,U / RB,2020,0.887069748,,,,1,
39,Greater Coucal,Centropus sinensis bubutus,U / RB,2020,0.889111635,1,1,1,,
11,Common Flameback,Dinopium javanese javanese,C / RB,2020,0.897408582,,1,1,,1
4,Rufous Woodpecker,Celeus brachyurus squamigularis,U / RB,2020,0.910102421,1,1,1,,1
119,Rufous-tailed Tailorbird,Orthotomus sericeus hesperius,U / RB,2020,0.910102421,1,1,1,,
148,White-headed Munia,Lonchura maja maja,U / RB,2020,0.910102421,,,1,1,1
72,Changeable Hawk Eagle,Spizaetus cirrhatus limnaeetus,U / RB,2020,0.918550977,1,1,1,,
120,Ashy Tailorbird,Orthotomus ruficeps ruficeps,C / RB,2020,0.936105347,,1,1,,1
147,Black-headed Munia,Lonchura malacca sinensis,C / RB,2020,0.936105347,,,1,1,
